pH,Chlorine,Turbidity,Conductivity,Alkalinity,Temperature,Colour,pH
7.47,1.6,0.187,56.0,10.0,3.0,39.0,7.47
7.59,1.76,0.18,58.7,10.0,2.9,43.0,7.59
6.8,1.76,0.15,60.2,10.0,3.2,56.0,6.8
7.045,1.795,0.152,61.6,10.0,3.05,58.0,7.045
7.29,1.83,0.154,63.0,10.0,2.9,60.0,7.29
7.27,1.67,0.192,57.6,10.0,2.9,63.0,7.27
7.49,1.59,0.225,60.7,10.0,3.0,52.0,7.49
7.42,1.43,0.381,55.9,10.0,2.9,60.0,7.42
7.47,1.53,0.358,61.4,10.0,3.0,57.0,7.47
7.51,1.55,0.381,59.4,10.0,2.8,57.0,7.51
7.425,1.5,0.355,57.15,10.0,2.8,56.5,7.425
7.34,1.45,0.329,54.9,10.0,2.8,56.0,7.34
7.37,1.53,0.341,58.5,10.0,2.9,57.0,7.37
7.29,1.55,0.393,63.2,10.0,2.7,52.0,7.29
7.23,1.49,0.312,59.2,10.0,2.6,41.0,7.23
7.44,1.51,7.06,61.0,10.0,2.7,51.0,7.44
7.0525,1.9249999999999998,0.17825,56.25,10.0,2.675,39.0,7.0525
7.075,1.9,0.16849999999999998,55.8,10.0,2.75,42.0,7.075
7.03,1.95,0.188,56.7,10.0,2.6,36.0,7.03
7.12,1.85,0.149,54.9,10.0,2.9,48.0,7.12
7.25,1.87,0.163,61.6,10.0,2.8,49.0,7.25
7.0,1.87,0.165,57.0,10.0,2.5,111.0,7.0
7.09,1.79,0.14,58.2,10.0,2.6,42.0,7.09
7.07,1.83,0.143,58.2,10.0,2.5,43.0,7.07
7.845,1.85,0.1525,58.900000000000006,10.0,2.7,44.0,7.845
8.62,1.87,0.162,59.6,10.0,2.9,45.0,8.62
7.26,1.89,0.146,57.6,10.0,2.7,60.0,7.26
7.33,1.95,0.162,57.8,10.0,2.6,43.0,7.33
8.01,1.91,0.175,59.1,10.0,2.6,46.0,8.01
6.91,1.94,0.182,58.2,10.0,2.7,37.0,6.91
7.02,1.91,7.02,48.4,10.0,2.9,45.0,7.02
7.0275,1.8900000000000001,0.17049999999999998,58.45,10.0,2.6500000000000004,42.75,7.0275
7.005,1.9100000000000001,0.173,55.2,10.0,2.7,44.5,7.005
7.05,1.87,0.168,61.7,10.0,2.6,41.0,7.05
6.96,1.95,0.178,48.7,10.0,2.8,48.0,6.96
6.94,1.86,0.226,63.7,10.0,2.9,24.0,6.94
7.23,1.92,0.196,62.4,10.0,2.9,26.0,7.23
5.88,1.85,0.108,45.8,10.0,2.9,30.0,5.88
6.975,1.7475,0.18425,66.2,10.0,2.875,74.5,6.975
6.98,1.7149999999999999,0.1905,65.4,10.0,2.95,70.0,6.98
6.97,1.78,0.178,67.0,10.0,2.8,79.0,6.97
6.99,1.65,0.203,63.8,10.0,3.1,61.0,6.99
7.61,1.74,0.177,66.0,10.0,3.0,46.0,7.61
7.24,1.77,0.226,57.8,10.0,2.9,41.0,7.24
7.46,1.76,0.206,59.5,10.0,3.0,43.0,7.46
7.1,1.745,0.2015,55.75,10.0,3.05,42.0,7.1
6.74,1.73,0.197,52.0,10.0,3.1,41.0,6.74
7.66,1.68,0.246,66.2,10.0,3.1,46.0,7.66
7.78,1.47,0.388,63.0,10.0,3.2,52.0,7.78
6.39,1.28,0.771,61.0,10.0,3.3,36.0,6.39
7.11,1.99,0.21,68.5,10.0,3.2,37.0,7.11
7.06,1.95,0.231,68.8,10.0,3.2,54.0,7.06
6.609999999999999,1.9249999999999998,0.21550000000000002,60.25,10.0,3.3,46.5,6.609999999999999
6.16,1.9,0.2,51.7,10.0,3.4,39.0,6.16
7.3,1.91,0.201,66.4,10.0,3.4,40.0,7.3
7.26,1.83,0.206,66.4,10.0,3.6,60.0,7.26
7.19,1.86,0.238,70.2,10.0,3.7,67.0,7.19
6.81,1.91,0.142,63.2,10.0,3.7,61.0,6.81
6.32,1.6,0.086,52.0,10.0,3.4,58.0,6.32
7.02,1.56,0.1395,55.3,10.0,3.3,49.5,7.02
7.72,1.52,0.193,58.6,10.0,3.2,41.0,7.72
7.5,1.56,0.063,68.3,10.0,3.7,18.0,7.5
7.51,1.5,0.072,68.6,10.0,3.7,26.0,7.51
7.18,1.51,0.184,67.4,10.0,4.6,30.0,7.18
7.2,1.46,0.216,65.1,10.0,4.2,28.0,7.2
7.25,1.43,0.191,63.0,10.0,3.8,46.0,7.25
7.2,1.535,0.1845,62.8,10.0,3.7,47.0,7.2
7.15,1.64,0.178,62.6,10.0,3.6,48.0,7.15
7.23,1.475,0.176,63.4,10.0,3.4,14.0,7.23
6.97,1.31,0.129,62.9,10.0,3.4,14.0,6.97
7.47,1.34,0.117,62.3,10.0,3.1,48.0,7.47
7.11,1.52,0.222,56.7,10.0,3.3,63.0,7.11
7.36,1.46,0.161,52.6,10.0,3.0,53.0,7.36
7.005000000000001,1.4100000000000001,0.14950000000000002,48.400000000000006,10.0,3.1,51.5,7.005000000000001
6.65,1.36,0.138,44.2,10.0,3.2,50.0,6.65
6.35,1.49,0.425,48.4,10.0,3.4,51.0,6.35
5.34,1.69,0.056,39.9,10.0,3.5,79.0,5.34
5.44,1.7,0.051,39.4,10.0,3.8,79.0,5.44
5.32,1.89,0.087,33.2,10.0,3.8,66.0,5.32
5.8,1.69,0.048,36.6,10.0,4.2,78.0,5.8
5.765000000000001,1.6749999999999998,0.1505,34.55,10.0,4.2,68.5,5.765000000000001
5.73,1.66,0.253,32.5,10.0,4.2,59.0,5.73
5.67,1.47,0.036,34.5,10.0,4.4,40.0,5.67
7.25,1.41,0.2189,44.0,10.0,4.6,43.0,7.25
7.77,1.44,0.173,50.0,10.0,4.7,41.0,7.77
7.57,1.49,0.199,48.6,10.0,4.6,28.0,7.57
7.34,1.66,0.129,49.3,10.0,4.7,26.0,7.34
7.529999999999999,1.74,0.16999999999999998,48.55,10.0,4.4,34.0,7.529999999999999
7.72,1.82,0.211,47.8,10.0,4.1,42.0,7.72
7.24,1.75,0.169,47.0,10.0,4.5,16.0,7.24
7.53,1.54,0.095,49.3,10.0,4.9,42.0,7.53
7.89,1.5,0.122,49.3,10.0,4.9,36.0,7.89
7.86,1.48,0.079,48.0,10.0,5.3,37.0,7.86
7.41,1.63,0.083,53.4,10.0,5.6,40.0,7.41
7.54,1.585,0.11499999999999999,50.599999999999994,10.0,6.35,33.0,7.54
7.67,1.54,0.147,47.8,10.0,7.1,26.0,7.67
7.55,1.53,0.091,46.6,10.0,7.7,24.0,7.55
7.47,1.49,0.061,49.3,10.0,7.5,22.0,7.47
7.84,1.46,0.237,45.2,10.0,8.9,64.0,7.84
7.39,1.42,0.083,40.2,10.0,9.6,61.0,7.39
7.88,1.4,0.081,43.0,10.0,8.9,60.0,7.88
7.609999999999999,1.51,0.118,43.8,10.0,8.2,72.0,7.609999999999999
7.34,1.62,0.155,44.6,10.0,7.5,84.0,7.34
7.16,1.8,0.053,43.7,10.0,7.0,24.0,7.16
7.44,1.86,0.083,42.8,10.0,6.8,31.0,7.44
7.25,1.83,0.179,36.6,10.0,8.0,37.0,7.25
7.39,1.8,0.134,44.3,10.0,8.9,44.0,7.39
7.42,1.77,0.127,44.6,10.0,8.9,45.0,7.42
7.29,1.725,0.125,42.900000000000006,10.0,9.5,59.0,7.29
7.16,1.68,0.123,41.2,10.0,10.1,73.0,7.16
7.47,1.57,0.132,42.4,10.0,11.0,65.0,7.47
6.9375,1.5525000000000002,0.22025,44.375,10.0,8.475,60.5,6.9375
6.805,1.5550000000000002,0.17450000000000002,44.55,10.0,9.35,60.0,6.805
7.07,1.55,0.266,44.2,10.0,7.6,61.0,7.07
6.54,1.56,0.083,44.9,10.0,11.1,59.0,6.54
7.265000000000001,1.46,0.33449999999999996,45.849999999999994,10.0,11.0,45.0,7.265000000000001
7.99,1.36,0.586,46.8,10.0,10.9,31.0,7.99
7.45,1.34,0.214,41.4,10.0,10.9,22.0,7.45
7.03,1.48,0.162,41.5,10.0,10.4,27.0,7.03
7.48,1.43,0.162,42.0,10.0,10.1,11.0,7.48
7.41,1.45,0.156,41.8,10.0,11.1,16.0,7.41
7.3,1.69,0.158,42.4,10.0,11.4,27.0,7.3
7.29,1.4849999999999999,0.294,42.45,10.0,11.600000000000001,34.5,7.29
7.28,1.28,0.43,42.5,10.0,11.8,42.0,7.28
7.32,1.4,0.234,36.9,10.0,12.7,25.0,7.32
7.45,1.62,0.246,42.5,10.0,12.3,56.0,7.45
7.59,1.65,0.27,47.3,10.0,12.1,34.0,7.59
7.31,1.69,0.322,44.5,10.0,12.6,21.0,7.31
7.03875,1.5525,0.36675,41.2125,10.0,12.9375,18.75,7.03875
7.0675,1.605,0.3615,41.525,10.0,12.774999999999999,23.5,7.0675
7.01,1.5,0.372,40.9,10.0,13.1,14.0,7.01
7.125,1.71,0.351,42.15,10.0,12.45,33.0,7.125
7.24,1.92,0.33,43.4,10.0,11.8,52.0,7.24
7.19,2.02,0.281,43.4,10.0,11.5,5.0,7.19
7.050000000000001,1.875,0.23850000000000002,40.5,10.0,11.35,34.5,7.050000000000001
6.91,1.73,0.196,37.6,10.0,11.2,64.0,6.91
6.725,1.685,0.278,39.05,10.0,11.7,35.0,6.725
6.54,1.64,0.36,40.5,10.0,12.2,6.0,6.54
6.96,1.82,0.504,48.0,10.0,12.6,50.0,6.96
7.2,2.0,0.204,43.4,10.0,13.5,31.0,7.2
7.67,1.8,0.131,42.7,10.0,14.4,40.0,7.67
7.34,1.47,0.148,41.8,10.0,15.1,33.0,7.34
7.4,1.29,0.184,41.4,10.0,15.7,43.0,7.4
7.54,1.4100000000000001,0.189,42.65,10.0,16.15,50.5,7.54
7.68,1.53,0.194,43.9,10.0,16.6,58.0,7.68
7.19,1.63,0.141,41.3,10.0,17.0,11.0,7.19
6.97,1.64,0.109,36.4,10.0,16.9,28.0,6.97
7.21,1.79,0.065,37.6,10.0,16.6,17.0,7.21
7.1,1.85,0.059,38.4,10.0,16.8,18.0,7.1
7.02,1.81,0.056,38.4,10.0,17.6,21.0,7.02
7.225,1.8,0.0805,36.9,10.0,17.05,25.5,7.225
7.43,1.79,0.105,35.4,10.0,16.5,30.0,7.43
7.36,1.77,0.067,39.0,10.0,17.9,43.0,7.36
7.29,1.5,0.062,35.2,10.0,17.9,42.0,7.29
7.4,1.415,0.078,37.650000000000006,10.0,18.4,46.5,7.4
7.51,1.33,0.094,40.1,10.0,18.9,51.0,7.51
7.4,1.38,0.063,37.9,10.0,19.3,30.0,7.4
7.285,1.31,0.1175,37.2,10.0,18.6,52.0,7.285
7.17,1.24,0.172,36.5,10.0,17.9,74.0,7.17
7.01,1.5150000000000001,0.121,35.65,10.0,17.049999999999997,72.0,7.01
6.85,1.79,0.07,34.8,10.0,16.2,70.0,6.85
6.88,1.97,0.127,44.0,10.0,16.6,30.0,6.88
7.165,1.8,0.1305,40.9,10.0,17.0,31.0,7.165
7.45,1.6,0.134,37.8,10.0,17.4,32.0,7.45
7.455,1.27,0.14400000000000002,40.349999999999994,10.0,17.7,39.0,7.455
7.46,1.37,0.154,42.9,10.0,18.0,46.0,7.46
7.42,1.54,0.109,42.7,10.0,17.9,19.0,7.42
7.4,1.64,0.143,44.0,10.0,18.0,56.0,7.4
7.17,1.63,0.138,41.2,10.0,18.1,44.0,7.17
7.01,1.79,0.123,43.0,10.0,18.1,71.0,7.01
7.02,1.75,0.192,44.1,10.0,17.8,48.0,7.02
7.18,1.775,0.20450000000000002,43.650000000000006,10.0,17.4,47.5,7.18
7.34,1.8,0.217,43.2,10.0,17.0,47.0,7.34
7.56,1.84,0.174,42.4,10.0,18.1,48.0,7.56
7.22,1.53,0.133,51.8,10.0,19.0,74.0,7.22
7.22,1.5,0.245,49.7,10.0,18.0,31.0,7.22
7.32,1.51,0.227,50.0,10.0,17.5,30.0,7.32
7.14,1.54,0.23,48.3,10.0,17.8,28.0,7.14
7.18,1.35,0.225,48.15,10.0,17.65,24.5,7.18
7.22,1.35,0.22,48.0,10.0,17.5,21.0,7.22
3.61,1.28,0.2245,48.6,10.0,17.85,35.5,3.61
5.6,1.35,0.229,49.2,10.0,18.2,50.0,5.6
7.59,1.58,0.156,48.6,10.0,18.3,28.0,7.59
7.67,1.26,0.178,44.8,10.0,18.6,101.0,7.67
7.7,1.1099999999999999,0.153,49.6,10.0,19.3,63.0,7.7
7.37,1.17,0.22649999999999998,49.900000000000006,10.0,19.25,60.0,7.37
7.04,1.05,0.3,50.2,10.0,19.2,57.0,7.04
7.01,1.29,0.283,49.6,10.0,19.0,70.0,7.01
7.25,1.5128906249999998,0.274,53.4,10.0,19.7,71.0,7.25
6.85,1.5142187499999997,0.241,50.4,10.0,20.1,33.0,6.85
6.86,1.5115624999999997,0.274,49.4,10.0,20.0,41.0,6.86
6.91,1.5168749999999998,0.335,50.1,10.0,20.2,40.0,6.91
6.390000000000001,1.5062499999999999,0.2435,50.650000000000006,10.0,19.9,50.5,6.390000000000001
5.87,1.5274999999999999,0.152,51.2,10.0,19.6,61.0,5.87
7.73,1.4849999999999999,0.463,54.8,10.0,19.3,73.0,7.73
6.96,1.57,0.234,47.6,10.0,19.0,71.0,6.96
7.095000000000001,1.4,0.268,49.1,10.0,19.15,78.5,7.095000000000001
7.23,1.59,0.302,50.6,10.0,19.3,86.0,7.23
7.03,1.82,0.293,48.5,10.0,19.6,76.0,7.03
6.95,1.73,0.303,46.2,10.0,19.65,52.5,6.95
6.87,1.7,0.313,43.9,10.0,19.7,29.0,6.87
6.2,2.01,0.274,42.6,10.0,19.6,38.0,6.2
8.11,2.85,0.274,52.1,10.0,18.8,22.0,8.11
8.28,2.67,0.732,48.0,10.0,18.3,30.0,8.28
7.88,2.14,0.948,42.8,10.0,18.9,47.0,7.88
7.27,1.71,0.447,38.2,10.0,19.3,61.0,7.27
7.255,1.58,0.5145,36.1,10.0,19.0,60.0,7.255
7.24,1.72,0.582,34.0,10.0,18.7,59.0,7.24
7.18,1.78,0.396,34.0,10.0,18.8,75.0,7.18
7.41,1.72,0.638,36.0,10.0,18.5,74.0,7.41
6.97,1.98,0.467,36.0,10.0,17.7,43.0,6.97
7.385,2.17,1.13,34.3,10.0,17.0,34.0,7.385
7.8,2.36,1.907,42.4,10.0,15.9,31.0,7.8
7.38,2.29,2.2635,45.4,10.0,15.55,31.0,7.38
6.96,2.45,2.62,48.4,10.0,15.2,31.0,6.96
7.04,2.15,2.7055,53.4,10.0,15.2,27.0,7.04
6.93,2.34,2.791,51.8,9.546983337402343,15.1,32.0,6.93
5.71,2.64,1.52,40.9,9.093966674804687,15.5,37.0,5.71
6.71,2.7,0.287,49.5,10.0,16.0,60.0,6.71
6.72,2.42,0.172,47.8,8.187933349609375,16.2,47.0,6.72
6.775,2.39,0.17049999999999998,50.8,8.18975830078125,15.85,48.0,6.775
6.83,2.45,0.169,53.8,8.1861083984375,15.5,49.0,6.83
7.1,2.19,0.132,45.6,8.193408203125,15.3,35.0,7.1
7.11,2.5,0.209,54.8,8.17880859375,15.4,67.0,7.11
4.63,2.87,0.213,35.6,8.2080078125,14.9,38.0,4.63
7.47,2.43,0.517,53.0,8.149609375,14.6,27.0,7.47
6.96,2.32,0.278,44.4,8.26640625,14.9,28.0,6.96
6.995,2.3,0.2425,43.65,8.0328125,14.9,29.0,6.995
7.03,2.3,0.207,42.9,8.5,14.9,30.0,7.03
7.3,1.92,0.453,54.0,7.565625000000001,15.0,35.0,7.3
6.96,2.09,0.45,55.4,7.643750000000001,14.8,30.0,6.96
7.02,2.065,0.41200000000000003,53.7,7.487500000000001,14.45,30.5,7.02
7.08,2.04,0.374,52.0,7.8,14.1,31.0,7.08
7.285,2.015,0.40375,53.5,7.175000000000001,13.149999999999999,35.25,7.285
7.35,1.99,0.4145,53.400000000000006,7.15,13.2,36.5,7.35
7.22,2.04,0.393,53.6,7.2,13.1,34.0,7.22
7.48,1.94,0.436,53.2,7.1,13.3,39.0,7.48
7.1,1.79,0.449,43.8,7.2,13.7,45.0,7.1
5.32,1.8,0.323,40.0,4.3,14.1,39.0,5.32
7.2,2.12,0.592,51.2,6.7,13.9,56.0,7.2
7.01,2.19,0.402,55.3,5.4,12.7,42.0,7.01
6.945,2.19,0.3735,49.75,6.0,12.55,34.0,6.945
6.88,2.19,0.345,44.2,6.6,12.4,26.0,6.88
6.93,1.97,0.323,54.9,7.4,12.6,28.0,6.93
7.03,1.94,0.319,54.8,8.3,12.8,51.0,7.03
7.2,1.97,0.294,58.7,7.9,13.8,62.0,7.2
7.63,1.91,0.285,55.8,7.8,13.8,35.0,7.63
6.97,2.23,0.2,61.2,8.3,13.2,36.0,6.97
7.1,2.215,0.1615,61.400000000000006,7.8500000000000005,12.75,37.5,7.1
7.23,2.2,0.123,61.6,7.4,12.3,39.0,7.23
7.13,1.87,0.118,61.7,8.7,12.3,44.0,7.13
7.32,2.02,0.198,61.5,10.6,11.9,38.0,7.32
7.26,1.99,0.2,60.8,8.9,12.0,37.0,7.26
7.29,2.06,0.199,61.15,9.75,11.95,37.5,7.29
5.45,1.85,0.136,45.8,8.8,10.6,52.0,5.45
6.245,1.85,0.1735,51.599999999999994,8.2,10.3,47.0,6.245
7.04,2.08,0.211,57.4,7.6,10.0,42.0,7.04
6.89,2.08,0.23,49.4,7.2,9.6,41.0,6.89
7.27,2.03,0.251,58.0,7.3,9.3,43.0,7.27
7.08,2.0549999999999997,0.2405,53.7,7.25,9.45,42.0,7.08
7.15,1.77,0.624,54.9,6.9,9.3,51.0,7.15
6.93,1.84,0.192,50.6,8.4,8.8,60.0,6.93
7.029999999999999,1.75,0.2595,54.3,8.350000000000001,8.15,47.0,7.029999999999999
7.13,1.66,0.327,58.0,8.3,7.5,34.0,7.13
6.98,1.32,0.339,60.5,8.6,7.4,41.0,6.98
7.02,2.08,0.289,56.7,7.4,7.6,43.0,7.02
7.09,1.86,0.36,60.6,9.6,7.6,32.0,7.09
7.22,1.77,0.284,59.6,8.9,7.3,53.0,7.22
7.23,2.1,0.258,56.4,7.9,7.9,52.0,7.23
7.27,1.86,0.5,58.849999999999994,8.15,7.550000000000001,47.0,7.27
7.31,1.75,0.742,61.3,8.4,7.2,42.0,7.31
7.22,1.88,0.285,57.5,7.7,6.7,46.0,7.22
6.94,1.66,0.365,60.1,7.5,5.9,41.0,6.94
7.49,1.8,0.28,55.8,8.4,5.9,59.0,7.49
7.15,1.76,0.281,58.6,8.1,5.6,36.0,7.15
7.05,1.71,0.332,49.7,7.2,5.4,43.0,7.05
6.895,1.78,0.389,50.85,7.4,6.050000000000001,42.0,6.895
6.74,1.82,0.446,52.0,7.6,6.7,41.0,6.74
6.98,1.81,0.231,51.8,7.7,6.4,43.0,6.98
7.23,1.71,0.269,52.0,8.6,6.5,31.0,7.23
7.35,1.67,0.319,54.2,8.4,6.5,45.0,7.35
7.529999999999999,1.75,0.3435,52.1,9.350000000000001,6.2,56.5,7.529999999999999
7.71,1.86,0.368,50.0,10.3,5.9,68.0,7.71
7.484999999999999,1.7850000000000001,0.4465,53.7,11.9,5.6,49.5,7.484999999999999
7.26,1.71,0.525,57.4,13.5,5.3,31.0,7.26
7.42,1.92,0.273,50.1,9.9,5.1,46.0,7.42
6.95,1.82,0.467,61.5,9.1,5.7,51.0,6.95
7.02,1.83,0.452,51.0,8.9,4.9,51.0,7.02
6.71,1.75,0.274,54.2,8.7,4.5,49.0,6.71
8.5,1.8,0.341,59.8,8.2,4.7,47.0,8.5
7.5649999999999995,1.64,0.7245,59.05,8.899999999999999,4.9,44.0,7.5649999999999995
6.63,1.75,1.108,58.3,9.6,5.1,41.0,6.63
7.71,1.78,0.238,65.0,8.6,5.0,54.0,7.71
7.04,1.91,0.302,60.6,8.7,4.9,47.0,7.04
6.64,1.84,0.498,59.6,7.7,4.5,49.0,6.64
7.25,1.69,0.581,57.8,8.2,4.5,42.0,7.25
7.82,1.82,0.352,57.5,8.3,4.5,41.0,7.82
7.445,1.78,0.502,56.85,8.2,4.55,42.0,7.445
7.07,1.9,0.652,56.2,8.1,4.6,43.0,7.07
6.98,1.77,0.297,56.8,7.9,4.7,42.0,6.98
7.07,1.69,0.552,53.1,8.0,4.3,41.0,7.07
6.92,1.87,0.442,52.9,7.4,4.1,40.0,6.92
7.32,1.95,0.487,49.2,8.6,5.2,53.0,7.32
5.14,1.86,0.143,49.3,7.2,5.4,57.0,5.14
6.38,1.85,0.34450000000000003,49.849999999999994,6.800000000000001,5.25,51.0,6.38
7.62,1.84,0.546,50.4,6.4,5.1,45.0,7.62
7.24,1.69,0.449,52.7,8.2,5.0,42.0,7.24
7.43,1.78,0.292,55.6,11.7,5.2,54.0,7.43
7.22,1.76,0.272,55.1,9.8,4.5,72.0,7.22
7.355,1.73,0.28800000000000003,55.75,9.350000000000001,4.05,66.0,7.355
7.49,1.7,0.304,56.4,8.9,3.6,60.0,7.49
7.575,1.71,0.3745,57.0,9.25,4.0,61.0,7.575
7.66,1.8,0.445,57.6,9.6,4.4,62.0,7.66
7.359999999999999,1.75,0.385,55.7,9.7,4.4,57.0,7.359999999999999
7.06,1.74,0.325,53.8,9.8,4.4,52.0,7.06
7.54,1.76,0.298,58.4,8.9,4.2,53.0,7.54
7.43,1.7,0.328,58.6,9.1,4.0,53.0,7.43
7.5,1.86,0.286,60.0,8.8,4.0,50.0,7.5
7.215,1.86,0.3435,59.1,9.5,3.9,60.0,7.215
6.93,1.8,0.401,58.2,10.2,3.8,70.0,6.93
7.44,1.93,0.327,60.2,11.1,4.4,62.0,7.44
7.69,1.7,0.27,62.4,9.6,3.8,51.0,7.69
7.15,1.85,0.319,62.849999999999994,8.75,3.8499999999999996,50.0,7.15
6.95,2.07,0.328,63.3,7.9,3.9,52.0,6.95
7.08,2.15,0.345,68.5,9.8,3.7,41.0,7.08
6.92,2.0,0.38,63.95,10.600000000000001,3.6500000000000004,42.0,6.92
6.76,2.1,0.415,59.4,11.4,3.6,43.0,6.76
6.92,2.06,0.291,67.8,12.2,3.5,59.0,6.92
6.95,1.99,0.301,59.3,11.4,3.8,58.0,6.95
7.34,1.9,0.294,72.7,10.1,3.8,69.0,7.34
7.43,1.77,0.306,62.6,11.2,3.8,56.0,7.43
7.09,1.95,0.267,65.6,12.7,3.4,45.0,7.09
7.035,1.78,0.3365,67.44999999999999,12.2,3.8,47.0,7.035
6.98,1.92,0.406,69.3,11.7,4.2,49.0,6.98
6.88,1.79,0.353,71.2,14.5,4.8,64.0,6.88
7.28,1.67,0.324,73.0,14.8,3.9,62.0,7.28
7.59,1.77,0.259,70.2,14.7,3.9,51.0,7.59
6.49,1.28,0.16,73.2,9.2,3.4,51.0,6.49
8.26,1.37,0.671,54.7,8.9,3.4,40.0,8.26
7.375,1.3250000000000002,0.41550000000000004,63.95,9.05,3.4,45.5,7.375
4.86,1.61,0.491,42.2,3.4,4.3,43.0,4.86
7.12,1.55,0.401,51.2,13.6,4.4,65.0,7.12
6.8,1.55,0.679,55.0,9.2,3.4,41.0,6.8
7.78,1.55,0.252,52.7,10.0,3.5,39.0,7.78
7.3,1.55,0.219,60.0,11.3,3.7,54.0,7.3
6.85,1.56,0.223,53.6,14.4,3.6,51.0,6.85
7.074999999999999,1.5550000000000002,0.221,56.8,12.850000000000001,3.6500000000000004,52.5,7.074999999999999
7.02,1.61,0.64,56.8,12.0,3.4,51.75,7.02
7.33,1.8,0.133,54.3,11.2,3.4,45.0,7.33
3.44,1.6,0.104,40.3,7.4,3.4,41.0,3.44
5.385,1.7000000000000002,0.1185,47.3,9.3,3.4,43.0,5.385
8.43,1.62,0.463,52.0,8.8,3.3,43.0,8.43
6.94,1.61,0.295,55.0,8.9,3.1,43.0,6.94
7.6850000000000005,1.5,0.379,53.5,8.850000000000001,3.2,43.0,7.6850000000000005
7.27,1.54,0.74,56.5,9.0,3.4,49.0,7.27
7.03,1.67,0.249,56.0,9.0,3.3,50.0,7.03
6.87,1.45,0.177,58.4,11.9,3.3,54.0,6.87
6.87,1.53,0.187,59.6,11.3,3.2,45.0,6.87
7.2,1.55,0.123,59.2,10.6,3.5,51.0,7.2
7.3,1.65,0.183,56.5,10.6,3.2,48.0,7.3
7.25,1.6,0.153,57.85,10.6,3.35,49.5,7.25
7.11,1.67,0.51,58.3,8.7,3.3,54.0,7.11
7.78,1.56,0.164,60.1,8.9,3.5,54.0,7.78
7.86,1.49,0.233,69.0,7.4,3.5,57.0,7.86
7.38,1.49,0.248,60.1,8.6,3.5,43.0,7.38
6.84,1.67,0.261,61.3,10.4,3.4,42.0,6.84
7.77,1.65,0.294,58.9,8.6,3.5,41.0,7.77
7.305,1.66,0.27749999999999997,60.099999999999994,9.5,3.45,41.5,7.305
7.98,1.58,0.407,64.7,10.6,3.7,42.0,7.98
7.06,1.63,0.377,53.0,10.4,3.5,48.0,7.06
8.31,1.59,0.144,55.1,9.8,3.8,33.0,8.31
7.89,1.27,0.498,59.6,10.0,4.0,15.0,7.89
6.82,1.3,0.423,58.2,9.9,5.6,16.0,6.82
7.04,1.24,0.515,61.0,10.1,3.6,42.0,7.04
6.93,1.33,0.469,59.6,10.0,4.6,29.0,6.93
5.08,1.23,0.219,59.3,8.2,3.8,30.0,5.08
7.35,1.13,0.379,61.0,8.9,3.7,30.0,7.35
7.18,1.31,0.527,56.8,11.8,3.6,49.0,7.18
7.51,1.14,0.289,62.0,10.7,3.5,46.0,7.51
7.31,1.23,0.492,61.7,10.9,3.8,44.0,7.31
6.68,1.25,0.343,44.7,11.2,3.9,42.0,6.68
6.994999999999999,1.2,0.4175,53.2,11.05,3.8499999999999996,43.0,6.994999999999999
7.12,1.23,0.65,60.6,11.9,3.4,73.0,7.12
7.52,1.04,0.193,58.2,12.3,3.7,41.0,7.52
7.24,1.28,0.503,57.3,12.1,3.3,43.0,7.24
